country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source
Albania,ALB,Europe,2862427,cases,2,2020-10,,2,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,40,2020-11,1.46728632730197,42,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,47,2020-12,3.0393788208398,89,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,123,2020-13,5.93901608669846,212,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,149,2020-14,9.50242573871753,361,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,85,2020-15,8.1748809663967,446,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,116,2020-16,7.02201313780229,562,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,164,2020-17,9.78190884867981,726,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,69,2020-18,8.13994557765141,795,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,73,2020-19,4.96082520183048,868,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,78,2020-20,5.27524370053804,946,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,52,2020-21,4.54160053688705,998,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,139,2020-22,6.67265925034944,1137,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,109,2020-23,8.66397640883069,1246,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,275,2020-24,13.4151892781895,1521,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,406,2020-25,23.7909997355391,1927,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,475,2020-26,30.7780774845961,2402,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,491,2020-27,33.7475855279453,2893,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,561,2020-28,36.7520289600399,3454,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,636,2020-29,41.8176603281062,4090,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,673,2020-30,45.7304238675781,4763,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,756,2020-31,49.9226705170123,5519,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,892,2020-32,57.5735206522297,6411,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,969,2020-33,65.0147584549755,7380,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,1047,2020-34,70.4297437104946,8427,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,953,2020-35,69.8707774905701,9380,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,875,2020-36,63.861890626381,10255,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,1098,2020-37,68.9275219944474,11353,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,1032,2020-38,74.4123780274571,12385,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,874,2020-39,66.5868509485133,13259,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,1007,2020-40,65.7134662298812,14266,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,1133,2020-41,74.76173191491,15399,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,1656,2020-42,97.4347992106,17055,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,2102,2020-43,131.287190904781,19157,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,2045,2020-44,144.877057126697,21202,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,3004,2020-45,176.388777774944,24206,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,3624,2020-46,231.551756603749,27830,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,4931,2020-47,298.872250715914,32761,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,4864,2020-48,342.192132760067,37625,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,5363,2020-49,357.28422069803,42988,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,5542,2020-50,380.970414267333,48530,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,4473,2020-51,349.87791828403,53003,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,3569,2020-52,280.950396289582,56572,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,2866,2020-53,224.809226575909,59438,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,4157,2021-01,245.351235158137,63595,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,4095,2021-02,288.286827926092,67690,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,4584,2021-03,303.204238920329,72274,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2862427,cases,5853,2021-04,364.62065233454,78127,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,5,2020-11,,5,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,108,2020-12,148.33873741418,113,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,221,2020-13,431.88889034748,334,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,167,2020-14,509.340089528335,501,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,137,2020-15,399.07058560983,638,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,75,2020-16,278.299224175276,713,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,27,2020-17,133.898683329614,740,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,8,2020-18,45.9456266327107,748,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,7,2020-19,19.6909828425903,755,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,6,2020-20,17.0655184635783,761,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,2,2020-21,10.5018575160482,763,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,1,2020-22,3.93819656851806,764,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,88,2020-23,116.833164866036,852,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,1,2020-24,116.833164866036,853,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,2,2020-25,3.93819656851806,855,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,0,2020-26,2.62546437901204,855,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,0,2020-27,0,855,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,0,2020-28,0,855,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,25,2020-29,32.8183047376505,880,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,17,2020-30,55.1347519592528,897,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,28,2020-31,59.0729485277709,925,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,31,2020-32,77.4511991808551,956,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,33,2020-33,84.0148601283852,989,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,56,2020-34,116.833164866036,1045,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,79,2020-35,177.218845583313,1124,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,91,2020-36,223.164472216023,1215,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,129,2020-37,288.801081691324,1344,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,220,2020-38,458.143534137601,1564,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,272,2020-39,645.864237236961,1836,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,274,2020-40,716.751775470286,2110,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,586,2020-41,1128.94968297518,2696,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,681,2020-42,1663.23168410413,3377,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,661,2020-43,1761.68659831708,4038,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,787,2020-44,1900.83621040472,4825,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,558,2020-45,1765.6247948856,5383,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,489,2020-46,1374.4306024128,5872,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,384,2020-47,1146.01520143876,6256,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,456,2020-48,1102.69503918506,6712,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,338,2020-49,1042.30935846778,7050,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,288,2020-50,821.770350630768,7338,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,239,2020-51,691.809863869672,7577,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,10,2020-52,326.870315186999,7587,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,605,2020-53,807.330296546202,8192,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,490,2021-01,1437.44174750909,8682,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,401,2021-02,1169.64438084986,9083,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,466,2021-03,1138.13880830172,9549,"Epidemic intelligence, national weekly data"
Andorra,AND,Europe,76177,cases,388,2021-04,1121.07328983814,9937,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,0,2020-01,,0,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,0,2020-02,0,0,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,0,2020-03,0,0,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,0,2020-04,0,0,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,0,2020-05,0,0,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,0,2020-06,0,0,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,0,2020-07,0,0,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,0,2020-08,0,0,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,1,2020-09,0.0337469130011332,1,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,0,2020-10,0.0337469130011332,1,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,27,2020-11,0.911166651030597,28,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,166,2020-12,6.51315420921871,194,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,288,2020-13,15.3210985025145,482,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,351,2020-14,21.5642774077241,833,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,206,2020-15,18.7970305416312,1039,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,300,2020-16,17.0759379785734,1339,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,469,2020-17,25.9513760978715,1808,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,699,2020-18,39.4163943853236,2507,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,885,2020-19,53.455110193795,3392,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,1431,2020-20,78.1578505106245,4823,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,2290,2020-21,125.572263277217,7113,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,2379,2020-22,157.564336802291,9492,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,3833,2020-23,209.63582356304,13325,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,3739,2020-24,255.531625244581,17064,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,3524,2020-25,245.103829127231,20588,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,4539,2020-26,272.101359528137,25127,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,3809,2020-27,281.71922973346,28936,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,3215,2020-28,237.03831691996,32151,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,2830,2020-29,204.00008909185,34981,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,2409,2020-30,176.800077212937,37390,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,1712,2020-31,139.07102847767,39102,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,1308,2020-32,101.915677263422,40410,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,1253,2020-33,86.4258441959022,41663,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,1129,2020-34,80.3851467686993,42792,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,958,2020-35,70.429807433365,43750,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,1033,2020-36,67.1901037852562,44783,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,1079,2020-37,71.2734802583934,45862,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,1569,2020-38,89.3618256270008,47431,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,1969,2020-39,119.396578198009,49400,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,3096,2020-40,170.92811435074,52496,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,3955,2020-41,237.94948357099,56451,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,8243,2020-42,411.644844787823,64694,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,14116,2020-43,754.547227792338,78810,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,14638,2020-44,970.358736434585,93448,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,14018,2020-45,967.051538960474,107466,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,10420,2020-46,824.707059921694,117886,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,8823,2020-47,649.391846880807,126709,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,8415,2020-48,581.729286313534,135124,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,7220,2020-49,527.632984772718,142344,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,6338,2020-50,457.540646469364,148682,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,5383,2020-51,395.547567286283,154065,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,3883,2020-52,312.6988958685,157948,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,2272,2020-53,207.712249521975,160220,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,2068,2021-01,146.461602424918,162288,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,2388,2021-02,150.37624433305,164676,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,1418,2021-03,128.440750882313,166094,"Epidemic intelligence, national weekly data"
Armenia,ARM,Europe,2963234,cases,994,2021-04,81.3975541587333,167088,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,0,2020-01,,0,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,0,2020-02,0,0,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,0,2020-03,0,0,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,0,2020-04,0,0,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,0,2020-05,0,0,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,0,2020-06,0,0,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,0,2020-07,0,0,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,0,2020-08,0,0,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,14,2020-09,0.158035394284198,14,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,88,2020-10,1.15140072978487,102,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,758,2020-11,9.54985311174514,860,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,2771,2020-12,39.8362076020669,3631,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,5182,2020-13,89.7753921958736,8813,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,3170,2020-14,94.2794009329732,11983,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,1954,2020-15,57.8409543080166,13937,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,773,2020-16,30.7830371580721,14710,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,479,2020-17,14.1328795459869,15189,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,349,2020-18,9.34666474766545,15538,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,249,2020-19,6.75036898442505,15787,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,367,2020-20,6.95355734850473,16154,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,285,2020-21,7.3599340766641,16439,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,203,2020-22,5.5086623150492,16642,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,226,2020-23,4.8426560105658,16868,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,170,2020-24,4.47014400975304,17038,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,247,2020-25,4.70719710117934,17285,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,340,2020-26,6.62619831748746,17625,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,644,2020-27,11.1076305696894,18269,"Epidemic intelligence, national weekly data"
Austria,AUT,Europe,8858775,cases,578,2020-28,13.7942322725208,18847,"Epidemic intelligence, national weekly data"
